Level,Date and Time,Source,Event ID,Task Category
Information,7/2/2020 12:46:26,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2020‎-‎07‎-‎02T10:46:26.061044000Z from ‎2020‎-‎07‎-‎02T10:46:26.060959800Z.

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume3\Windows\System32\svchost.exe' (PID 7700)."
Information,7/2/2020 12:46:26,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2020‎-‎07‎-‎02T10:46:26.057296800Z from ‎2020‎-‎07‎-‎02T10:46:26.057032900Z.

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume3\Windows\System32\svchost.exe' (PID 7700)."
Information,7/2/2020 12:46:26,Microsoft-Windows-Time-Service,35,None,"The time service is now synchronizing the system time with the time source time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->40.81.94.65:123) with reference id 1096700200. Current local stratum number is 4."
Information,7/2/2020 12:46:26,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2020‎-‎07‎-‎02T10:46:26.053756000Z from ‎2020‎-‎07‎-‎02T11:44:19.857834100Z.

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume3\Windows\System32\svchost.exe' (PID 7700)."
Information,7/2/2020 11:13:56,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,7/2/2020 11:13:54,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Application API"
Information,7/2/2020 11:13:52,Microsoft-Windows-Kernel-Power,187,(243),User-mode process attempted to change the system state by calling SetSuspendState or SetSystemPowerState APIs.
Information,7/2/2020 11:13:52,Win32k,267,None,Touch/Touchpad Hardware Quality Assurance verification succeeded.
Information,7/2/2020 11:13:52,Microsoft-Windows-Winlogon,7002,(1102),User Logoff Notification for Customer Experience Improvement Program
Information,7/2/2020 10:57:10,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,7/2/2020 10:56:14,Microsoft-Windows-Kernel-General,15,None,Hive \??\Volume{3de62f61-a307-4673-9ab4-02ad9995c124}\System Volume Information\SPP\SppCbsHiveStore\{cd42efe1-f6f1-427c-b004-033192c625a4}{D34C5446-B037-41FB-9E6A-2F5F81570DDE} was reorganized with a starting size of 88612864 bytes and an ending size of 88571904 bytes.
Information,7/2/2020 10:56:12,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\Volume{3de62f61-a307-4673-9ab4-02ad9995c124}\System Volume Information\SPP\SppCbsHiveStore\{cd42efe1-f6f1-427c-b004-033192c625a4}{2CF3683F-88D8-456D-A6D6-A07FEF2E1BDC} was cleared updating 549 keys and creating 91 modified pages.
Information,7/2/2020 10:56:12,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\Volume{3de62f61-a307-4673-9ab4-02ad9995c124}\System Volume Information\SPP\SppCbsHiveStore\{cd42efe1-f6f1-427c-b004-033192c625a4}{E5BA985B-2199-4381-BDCB-496A068DD0F6} was cleared updating 15745 keys and creating 2687 modified pages.
Information,7/2/2020 10:56:11,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\Volume{3de62f61-a307-4673-9ab4-02ad9995c124}\System Volume Information\SPP\SppCbsHiveStore\{cd42efe1-f6f1-427c-b004-033192c625a4}{3EEF05BA-3527-40B8-B7F5-30F83E2A40A2} was cleared updating 75 keys and creating 4 modified pages.
Information,7/2/2020 10:56:11,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\Volume{3de62f61-a307-4673-9ab4-02ad9995c124}\System Volume Information\SPP\SppCbsHiveStore\{cd42efe1-f6f1-427c-b004-033192c625a4}{D0645C18-BDE0-4E14-B677-F5A6A9020309} was cleared updating 56 keys and creating 6 modified pages.
Information,7/2/2020 10:56:11,Microsoft-Windows-Kernel-General,15,None,Hive \??\Volume{3de62f61-a307-4673-9ab4-02ad9995c124}\System Volume Information\SPP\SppCbsHiveStore\{cd42efe1-f6f1-427c-b004-033192c625a4}{DBE38AAD-34AB-4A9C-B42A-8BB7C51F18A7} was reorganized with a starting size of 15347712 bytes and an ending size of 15339520 bytes.
Information,7/2/2020 10:56:08,Microsoft-Windows-Kernel-General,11,None,"TxR init phase for hive \??\GLOBALROOT\Device\HarddiskVolumeShadowCopy3\Windows\System32\config\DRIVERS (TM: {7f40292d-baab-11ea-90e2-24418ce6380d}, RM: {7f40292c-baab-11ea-90e2-24418ce6380d}) finished with result=0xC00000A2 (Internal code=7)."
Information,7/2/2020 10:56:08,Microsoft-Windows-Kernel-General,15,None,Hive \??\GLOBALROOT\Device\HarddiskVolumeShadowCopy3\Windows\System32\config\DRIVERS was reorganized with a starting size of 7102464 bytes and an ending size of 7057408 bytes.
Information,7/2/2020 10:56:08,Microsoft-Windows-Kernel-General,11,None,"TxR init phase for hive \??\GLOBALROOT\Device\HarddiskVolumeShadowCopy3\Windows\System32\config\SYSTEM (TM: {7f40292a-baab-11ea-90e2-24418ce6380d}, RM: {7f402929-baab-11ea-90e2-24418ce6380d}) finished with result=0xC00000A2 (Internal code=7)."
Information,7/2/2020 10:56:08,Microsoft-Windows-Kernel-General,15,None,Hive \??\GLOBALROOT\Device\HarddiskVolumeShadowCopy3\Windows\System32\config\SYSTEM was reorganized with a starting size of 15347712 bytes and an ending size of 15339520 bytes.
Error,7/2/2020 10:55:20,Microsoft-Windows-LanguagePackSetup,1040,Removing language pack,Cannot uninstall language pack for sv-SE because it's not installed.
Error,7/2/2020 10:55:20,Microsoft-Windows-LanguagePackSetup,1040,Removing language pack,Cannot uninstall language pack for nb-NO because it's not installed.
Error,7/2/2020 10:55:20,Microsoft-Windows-LanguagePackSetup,1040,Removing language pack,Cannot uninstall language pack for fi-FI because it's not installed.
Error,7/2/2020 10:55:20,Microsoft-Windows-LanguagePackSetup,1040,Removing language pack,Cannot uninstall language pack for da-DK because it's not installed.
Information,7/2/2020 10:55:07,Service Control Manager,7040,None,The start type of the Windows Modules Installer service was changed from auto start to demand start.
Information,7/2/2020 10:55:07,Service Control Manager,7040,None,The start type of the Windows Modules Installer service was changed from demand start to auto start.
Error,7/2/2020 10:55:07,Microsoft-Windows-LanguagePackSetup,1040,Removing language pack,Cannot uninstall language pack for sv-SE because it's not installed.
Error,7/2/2020 10:55:07,Microsoft-Windows-LanguagePackSetup,1040,Removing language pack,Cannot uninstall language pack for nb-NO because it's not installed.
Error,7/2/2020 10:55:07,Microsoft-Windows-LanguagePackSetup,1040,Removing language pack,Cannot uninstall language pack for fi-FI because it's not installed.
Error,7/2/2020 10:55:07,Microsoft-Windows-LanguagePackSetup,1040,Removing language pack,Cannot uninstall language pack for da-DK because it's not installed.
Information,7/2/2020 10:55:06,Service Control Manager,7040,None,The start type of the Windows Modules Installer service was changed from auto start to demand start.
Information,7/2/2020 10:55:06,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Windows\System32\SMI\Store\Machine\SCHEMA.DAT was cleared updating 15745 keys and creating 2687 modified pages.
Information,7/2/2020 10:55:06,Service Control Manager,7040,None,The start type of the Windows Modules Installer service was changed from demand start to auto start.
Information,7/2/2020 10:55:06,Service Control Manager,7040,None,The start type of the Windows Modules Installer service was changed from auto start to demand start.
Information,7/2/2020 10:55:05,Service Control Manager,7040,None,The start type of the Windows Modules Installer service was changed from demand start to auto start.
Information,7/2/2020 10:55:04,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,7/2/2020 10:55:04,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Provisioning\Microsoft-Desktop-Provisioning-Sequence.dat was cleared updating 0 keys and creating 0 modified pages.
Information,7/2/2020 10:34:04,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Warning,7/2/2020 10:31:05,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user LAPTOP-PR1MKK5U\Renars SID (S-1-5-21-850498477-2290094382-3762704528-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,7/2/2020 10:23:21,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user LAPTOP-PR1MKK5U\Renars SID (S-1-5-21-850498477-2290094382-3762704528-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,7/2/2020 10:21:18,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Warning,7/2/2020 10:20:18,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user LAPTOP-PR1MKK5U\Renars SID (S-1-5-21-850498477-2290094382-3762704528-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,7/2/2020 10:20:16,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user LAPTOP-PR1MKK5U\Renars SID (S-1-5-21-850498477-2290094382-3762704528-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,7/2/2020 10:20:15,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user LAPTOP-PR1MKK5U\Renars SID (S-1-5-21-850498477-2290094382-3762704528-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
